	ref|NC_000913	ref|NC_002655	ref|NC_010658	ref|NC_011740	ref|NC_011751	ref|NC_013353	ref|NC_013716	ref|NC_013850	ref|NC_016822	ref|NC_016856	ref|NC_017328	ref|NC_017340	ref|NC_017634	ref|NC_017646	ref|NC_017728	ref|NC_017910	ref|NC_018106	ref|NC_018522	ref|NC_022912
1436893123000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893124000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893125000	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0
1436893126000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893127000	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1
1436893128000	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
1436893129000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893130000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893131000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893132000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893133000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893134000	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1436893135000	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0
1436893136000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893137000	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1
1436893138000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893139000	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1
1436893140000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893141000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893142000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893143000	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1
1436893144000	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893145000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893146000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893147000	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1
1436893148000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893149000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893150000	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893151000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
1436893152000	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0
1436893153000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893154000	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893155000	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0
1436893156000	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	1
1436893157000	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0
