conserved	specific	contigs	genome_size
public_100006	2392	10	21	5201275
public_10019	2335	9	50	5208939
public_100445	2401	10	491	5159902
public_100485	2200	10	47	5087927
public_100726	2383	10	408	4938310
public_10097	2388	8	132	5097208
public_101308	2213	10	2651	4896555
public_101353	2200	9	504	5319239
public_101474	2352	10	299	5383954
public_1015	2376	10	43	4692989
public_101744	1966	7	43	4967159
public_102602	2384	10	96	5306628
public_102747	2350	10	425	5207549
public_103055	2377	10	149	5101828
public_103117	2361	10	127	5063872
public_103294	2401	10	17	5375989
public_103339	2401	10	113	5362601
public_10335	2408	10	2	5355323
public_103585	2384	10	41	5251439
public_103630	2393	10	142	5161746
public_103771	2401	10	100	4981218
public_103775	2162	10	169	5095530
public_103914	2356	10	543	5371620
public_104059	2324	3	845	6002113
public_104255	2390	10	26	5185670
public_104455	2349	10	130	4448831
public_104711	2392	10	77	5286765
public_1049	2328	10	46	5174663
public_105002	2409	10	190	5416289
public_105024	2220	10	50	5224895
public_105059	2334	9	368	5417010
public_105062	2208	10	191	5020687
public_10507	2398	10	37	4989407
public_105101	2370	10	300	5362973
public_105197	2391	10	37	4688704
public_105273	2381	10	844	5179863
public_105830	2386	10	437	5315793
public_106259	2234	10	140	5326791
public_106310	2215	10	157	5327261
public_106366	2361	10	130	5241402
public_106619	2216	10	179	4736152
public_106676	2378	10	198	5045120
public_106836	2356	9	119	5099128
public_106885	2199	10	44	5022732
public_106895	2366	10	141	5353370
public_106972	2390	10	191	5299493
public_107187	2321	7	3	5008864
public_107490	2347	10	68	4457844
public_10780	2396	10	19	5085719
public_108373	2392	9	519	5366817
public_108491	2384	10	90	5447514
public_108633	2223	10	345	4964838
public_108664	2320	10	170	5055047
public_109000	2392	10	327	5111643
public_10905	2405	10	190	5152875
public_109115	2199	10	141	5543738
public_109162	2403	10	445	5367700
public_109352	2402	10	26	4860526
public_109422	2402	10	104	4998414
public_109468	2399	10	152	5067073
public_109524	2364	10	435	5640499
public_109616	2332	10	33	5016401
public_109656	2394	10	57	5300940
public_109780	2205	9	30	4983785
public_109934	2118	10	88	5151350
public_1101	2203	10	87	5183010
public_110400	2209	10	64	4880986
public_110435	2365	10	242	2480708
public_110602	2387	10	60	5340505
public_110670	2399	10	29	5101548
public_110793	2370	10	165	5096982
public_111027	2202	9	944	5264894
